sampleid	ypred	sampleorder
TCGA-2A-A8VL	0.53714793920517	1
TCGA-2A-A8VO	0.532551527023315	2
TCGA-2A-A8VT	0.569518685340881	3
TCGA-2A-A8VV	0.544568955898285	4
TCGA-2A-A8VX	0.570836901664734	5
TCGA-2A-A8W1	0.529736459255219	6
TCGA-2A-A8W3	0.534486174583435	7
TCGA-2A-AAYF	0.471964150667191	8
TCGA-2A-AAYO	0.484878867864609	9
TCGA-2A-AAYU	0.517378866672516	10
TCGA-4L-AA1F	0.586279273033142	11
TCGA-CH-5737	0.604899764060974	12
TCGA-CH-5738	0.388739436864853	13
TCGA-CH-5739	0.552022755146027	14
TCGA-CH-5740	0.560731470584869	15
TCGA-CH-5741	0.532491981983185	16
TCGA-CH-5743	0.387725085020065	17
TCGA-CH-5744	0.544195890426636	18
TCGA-CH-5745	0.387725085020065	19
TCGA-CH-5746	0.50370579957962	20
TCGA-CH-5748	0.536987900733948	21
TCGA-CH-5750	0.509428918361664	22
TCGA-CH-5751	0.536271095275879	23
TCGA-CH-5752	0.549989640712738	24
TCGA-CH-5753	0.591666996479034	25
TCGA-CH-5754	0.588182389736176	26
TCGA-CH-5761	0.555118322372437	27
TCGA-CH-5762	0.530020475387573	28
TCGA-CH-5763	0.39741450548172	29
TCGA-CH-5764	0.512385964393616	30
TCGA-CH-5765	0.52362334728241	31
TCGA-CH-5766	0.501075625419617	32
TCGA-CH-5767	0.532039165496826	33
TCGA-CH-5768	0.601490199565887	34
TCGA-CH-5769	0.547190427780151	35
TCGA-CH-5771	0.564801454544067	36
TCGA-CH-5772	0.560179531574249	37
TCGA-CH-5788	0.553592443466187	38
TCGA-CH-5789	0.39741450548172	39
TCGA-CH-5790	0.525306165218353	40
TCGA-CH-5791	0.607447147369385	41
TCGA-CH-5792	0.535855710506439	42
TCGA-CH-5794	0.56751811504364	43
TCGA-EJ-5494	0.541484117507935	44
TCGA-EJ-5495	0.554039239883423	45
TCGA-EJ-5496	0.58577698469162	46
TCGA-EJ-5497	0.500575542449951	47
TCGA-EJ-5498	0.479431927204132	48
TCGA-EJ-5499	0.509379386901855	49
TCGA-EJ-5501	0.480309426784515	50
TCGA-EJ-5502	0.390276402235031	51
TCGA-EJ-5503	0.363887220621109	52
TCGA-EJ-5504	0.564580321311951	53
TCGA-EJ-5505	0.494599372148514	54
TCGA-EJ-5506	0.387725085020065	55
TCGA-EJ-5507	0.578336834907532	56
TCGA-EJ-5508	0.47929447889328	57
TCGA-EJ-5509	0.574077546596527	58
TCGA-EJ-5510	0.521689176559448	59
TCGA-EJ-5511	0.514461576938629	60
TCGA-EJ-5512	0.514023244380951	61
TCGA-EJ-5514	0.553535521030426	62
TCGA-EJ-5515	0.39741450548172	63
TCGA-EJ-5516	0.542881369590759	64
TCGA-EJ-5517	0.522047162055969	65
TCGA-EJ-5518	0.535627543926239	66
TCGA-EJ-5519	0.521327018737793	67
TCGA-EJ-5521	0.563243329524994	68
TCGA-EJ-5522	0.530961513519287	69
TCGA-EJ-5524	0.523286700248718	70
TCGA-EJ-5525	0.563728153705597	71
TCGA-EJ-5526	0.51941579580307	72
TCGA-EJ-5527	0.601285040378571	73
TCGA-EJ-5530	0.441676408052444	74
TCGA-EJ-5531	0.589498817920685	75
TCGA-EJ-5532	0.512559115886688	76
TCGA-EJ-5542	0.520375192165375	77
TCGA-EJ-7115	0.549531757831573	78
TCGA-EJ-7123	0.608191430568695	79
TCGA-EJ-7125	0.591602385044098	80
TCGA-EJ-7218	0.526525020599365	81
TCGA-EJ-7312	0.528158664703369	82
TCGA-EJ-7314	0.508529007434845	83
TCGA-EJ-7315	0.606118619441986	84
TCGA-EJ-7317	0.558734238147736	85
TCGA-EJ-7318	0.56252658367157	86
TCGA-EJ-7321	0.537811577320099	87
TCGA-EJ-7325	0.517360150814056	88
TCGA-EJ-7327	0.559845209121704	89
TCGA-EJ-7328	0.605261921882629	90
TCGA-EJ-7330	0.609538495540619	91
TCGA-EJ-7331	0.54814201593399	92
TCGA-EJ-7781	0.603019237518311	93
TCGA-EJ-7782	0.58333683013916	94
TCGA-EJ-7783	0.602817296981812	95
TCGA-EJ-7784	0.514241456985474	96
TCGA-EJ-7785	0.469205498695374	97
TCGA-EJ-7786	0.584879159927368	98
TCGA-EJ-7788	0.494584739208221	99
TCGA-EJ-7789	0.624126493930817	100
TCGA-EJ-7791	0.41817432641983	101
TCGA-EJ-7792	0.455364286899567	102
TCGA-EJ-7793	0.366382718086243	103
TCGA-EJ-7794	0.502903580665588	104
TCGA-EJ-7797	0.500203728675842	105
TCGA-EJ-8468	0.591647326946259	106
TCGA-EJ-8469	0.570651710033417	107
TCGA-EJ-8470	0.525341391563416	108
TCGA-EJ-8472	0.547431647777557	109
TCGA-EJ-8474	0.565047204494476	110
TCGA-EJ-A46B	0.387725085020065	111
TCGA-EJ-A46D	0.501605570316315	112
TCGA-EJ-A46E	0.368814647197723	113
TCGA-EJ-A46F	0.541267693042755	114
TCGA-EJ-A46G	0.51688015460968	115
TCGA-EJ-A46H	0.387725085020065	116
TCGA-EJ-A46I	0.368814647197723	117
TCGA-EJ-A65B	0.541671514511108	118
TCGA-EJ-A65D	0.582602441310883	119
TCGA-EJ-A65E	0.500574767589569	120
TCGA-EJ-A65F	0.507121920585632	121
TCGA-EJ-A65G	0.377183973789215	122
TCGA-EJ-A65J	0.519907653331757	123
TCGA-EJ-A65M	0.572975873947144	124
TCGA-EJ-A6RA	0.388739436864853	125
TCGA-EJ-A6RC	0.387725085020065	126
TCGA-EJ-A7NF	0.497400999069214	127
TCGA-EJ-A7NG	0.387725085020065	128
TCGA-EJ-A7NH	0.527751445770264	129
TCGA-EJ-A7NJ	0.398371607065201	130
TCGA-EJ-A7NK	0.395936667919159	131
TCGA-EJ-A7NM	0.528016269207001	132
TCGA-EJ-A7NN	0.387725085020065	133
TCGA-EJ-A8FN	0.487964749336243	134
TCGA-EJ-A8FO	0.416147977113724	135
TCGA-EJ-A8FP	0.387725085020065	136
TCGA-EJ-A8FS	0.508966147899628	137
TCGA-EJ-A8FU	0.387725085020065	138
TCGA-EJ-AB20	0.491931676864624	139
TCGA-EJ-AB27	0.527822315692902	140
TCGA-FC-7708	0.513765633106232	141
TCGA-FC-7961	0.563079357147217	142
TCGA-FC-A4JI	0.564657151699066	143
TCGA-FC-A5OB	0.491799205541611	144
TCGA-FC-A66V	0.3941370844841	145
TCGA-FC-A6HD	0.434184432029724	146
TCGA-FC-A8O0	0.487680166959763	147
TCGA-G9-6329	0.521948337554932	148
TCGA-G9-6332	0.498743832111359	149
TCGA-G9-6333	0.52920526266098	150
TCGA-G9-6336	0.377183973789215	151
TCGA-G9-6338	0.515445530414581	152
TCGA-G9-6339	0.535487234592438	153
TCGA-G9-6342	0.526049017906189	154
TCGA-G9-6343	0.479645699262619	155
TCGA-G9-6347	0.39741450548172	156
TCGA-G9-6348	0.588748395442963	157
TCGA-G9-6351	0.522034466266632	158
TCGA-G9-6353	0.37362414598465	159
TCGA-G9-6354	0.518600165843964	160
TCGA-G9-6356	0.51854795217514	161
TCGA-G9-6361	0.560777425765991	162
TCGA-G9-6362	0.459957122802734	163
TCGA-G9-6363	0.568632900714874	164
TCGA-G9-6364	0.597088515758514	165
TCGA-G9-6365	0.553971767425537	166
TCGA-G9-6366	0.544809341430664	167
TCGA-G9-6367	0.387725085020065	168
TCGA-G9-6369	0.505526125431061	169
TCGA-G9-6370	0.363887220621109	170
TCGA-G9-6371	0.504560828208923	171
TCGA-G9-6373	0.581543326377869	172
TCGA-G9-6377	0.549638867378235	173
TCGA-G9-6378	0.522863626480103	174
TCGA-G9-6379	0.513922512531281	175
TCGA-G9-6384	0.532582700252533	176
TCGA-G9-6385	0.418398827314377	177
TCGA-G9-6494	0.608962833881378	178
TCGA-G9-6496	0.513932704925537	179
TCGA-G9-6498	0.506582915782928	180
TCGA-G9-6499	0.635968565940857	181
TCGA-G9-7509	0.563761115074158	182
TCGA-G9-7510	0.573983252048492	183
TCGA-G9-7519	0.503660321235657	184
TCGA-G9-7521	0.558798134326935	185
TCGA-G9-7522	0.481316655874252	186
TCGA-G9-7523	0.514917135238647	187
TCGA-G9-7525	0.553646981716156	188
TCGA-G9-A9S0	0.545099377632141	189
TCGA-G9-A9S4	0.416199415922165	190
TCGA-G9-A9S7	0.510882675647736	191
TCGA-H9-7775	0.565343856811523	192
TCGA-H9-A6BX	0.39741450548172	193
TCGA-H9-A6BY	0.460845679044724	194
TCGA-HC-7075	0.398400366306305	195
